prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,entropy_mean,entropy_std,word_entropy_mean,word_entropy_std
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.595928451895034,0.00237871257343984,5.8357688175850475,0.009605842128561448
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.487485614752492,0.008920645910386297,6.188041948215369,0.02329231330120148
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.402970307251935,0.0,4.59306920777189,0.0
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.331526189021585,0.00652646380031545,5.971596657536098,0.011447616227803083
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.4097680990519725,0.002387602772893954,6.157612792655814,0.04870542072601663
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.003322078645915,0.07169340695690714,4.84444882919624,0.023594032117145662
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.304317574521567,0.0,6.001508834536531,0.0
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,3.8220874587775753,0.0,4.628848957968554,0.0
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.17300432967031,0.07362536585928688,5.73332746582749,0.0009522354322339054
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.246503459686275,0.0035312175162047193,6.102569419458148,0.05175804057110829
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.109266939478949,0.0,3.0,0.0
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.423157958450306,0.013798489935531679,5.847974321558999,0.026766088710797706
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.2936236784806585,0.0,3.4594316186372973,0.0
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.324829990527558,0.009170508445649617,5.359866697536151,0.0010723574473310291
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.546536685221301,0.004494752540057684,5.822978299699444,0.04935088131745155
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.4044682476584605,0.0,5.584804865652559,0.0
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.272349040750016,0.0008863711906904826,5.52461641521075,0.0
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.067500056012378,0.0,4.293660689688186,0.0
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.359016174924347,0.0,5.593890036425605,0.0
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.583726411981944,0.015254637962947858,6.129738464961347,0.012838596582756292
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.521619898035686,0.0,5.327724314055788,0.0
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.507181546920077,0.0,6.0637516045898865,0.0
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.374043764672255,0.0,4.277613436819116,0.0
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.346792216766224,0.0010144373877047572,5.478948475662336,0.0026902643043920467
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.41044721120872,0.004952634441741921,5.950004847413066,0.002712549396982311
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.26209518860798,0.04564829295317644,5.336244507225104,0.3556111391237769
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.457557413903759,0.02391306422280814,5.977205282919186,0.05909143015599526
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.0720268242270965,0.008629319612753227,4.634030532763527,0.057297111119205706
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.248939325376474,0.029677823392511214,5.705246606610699,0.05314206648956332
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.296357947072506,0.00251165765132626,5.974298042181846,0.008659239051999635
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.393319778008724,0.0,5.484069531114783,0.0
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.424477955716057,0.012210713427998026,5.903970524648595,0.02454881595303933
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.05350336455507,0.0,4.533249311341008,0.0
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.29443201916148,0.0,5.891991724816276,0.0
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.269863968520816,0.0795174746990927,6.122961126286144,0.01147644040195543
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.40655925178323,0.0,5.464521118476495,0.0
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.357712481749859,0.03165401329968368,6.027556874365185,0.05114956122823434
38,filter_by_substring,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.137833759165391,0.0,4.142664355548848,0.0
39,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.192417173504955,0.018161239125333517,5.701433480318558,0.011073924762203303
